Name	Axis	Param	Value
FRIKANh8u6l6g8s2_e1k_lr7e4_base	base		
FRIKANh3u6l6g8s2_e1k_lr7e4_axisH	H_UNITS	H_UNITS	3
FRIKANh4u6l6g8s2_e1k_lr7e4_axisH	H_UNITS	H_UNITS	4
FRIKANh5u6l6g8s2_e1k_lr7e4_axisH	H_UNITS	H_UNITS	5
FRIKANh6u6l6g8s2_e1k_lr7e4_axisH	H_UNITS	H_UNITS	6
FRIKANh7u6l6g8s2_e1k_lr7e4_axisH	H_UNITS	H_UNITS	7
FRIKANh9u6l6g8s2_e1k_lr7e4_axisH	H_UNITS	H_UNITS	9
FRIKANh10u6l6g8s2_e1k_lr7e4_axisH	H_UNITS	H_UNITS	10
FRIKANh8u3l6g8s2_e1k_lr7e4_axisU	INNER_KAN_UNITS	INNER_KAN_UNITS	3
FRIKANh8u4l6g8s2_e1k_lr7e4_axisU	INNER_KAN_UNITS	INNER_KAN_UNITS	4
FRIKANh8u5l6g8s2_e1k_lr7e4_axisU	INNER_KAN_UNITS	INNER_KAN_UNITS	5
FRIKANh8u7l6g8s2_e1k_lr7e4_axisU	INNER_KAN_UNITS	INNER_KAN_UNITS	7
FRIKANh8u8l6g8s2_e1k_lr7e4_axisU	INNER_KAN_UNITS	INNER_KAN_UNITS	8
FRIKANh8u6l3g8s2_e1k_lr7e4_axisL	INNER_KAN_LAYERS	INNER_KAN_LAYERS	3
FRIKANh8u6l4g8s2_e1k_lr7e4_axisL	INNER_KAN_LAYERS	INNER_KAN_LAYERS	4
FRIKANh8u6l5g8s2_e1k_lr7e4_axisL	INNER_KAN_LAYERS	INNER_KAN_LAYERS	5
FRIKANh8u6l7g8s2_e1k_lr7e4_axisL	INNER_KAN_LAYERS	INNER_KAN_LAYERS	7
FRIKANh8u6l8g8s2_e1k_lr7e4_axisL	INNER_KAN_LAYERS	INNER_KAN_LAYERS	8
FRIKANh8u6l6g3s2_e1k_lr7e4_axisG	GRID_SIZE	GRID_SIZE	3
FRIKANh8u6l6g4s2_e1k_lr7e4_axisG	GRID_SIZE	GRID_SIZE	4
FRIKANh8u6l6g5s2_e1k_lr7e4_axisG	GRID_SIZE	GRID_SIZE	5
FRIKANh8u6l6g6s2_e1k_lr7e4_axisG	GRID_SIZE	GRID_SIZE	6
FRIKANh8u6l6g7s2_e1k_lr7e4_axisG	GRID_SIZE	GRID_SIZE	7
FRIKANh8u6l6g8s1_e1k_lr7e4_axisS	SPLINE_ORDER	SPLINE_ORDER	1
FRIKANh8u6l6g8s3_e1k_lr7e4_axisS	SPLINE_ORDER	SPLINE_ORDER	3
